Company Name,Rating,Average Salary,Role
Tata Consultancy Services,3.9,"7,80,000",Data Scientist
IBM,4,"12,00,000",Data Scientist
Accenture,4,"10,51,857",Data Scientist
Mu Sigma,3.5,"7,25,000",Data Scientist
Infosys,3.3,"7,70,714",Data Scientist
Cognizant Technology Solutions,3.8,"8,11,609",Data Scientist
Fractal,4.1,"17,23,101",Data Scientist
Amazon,3.8,"15,70,880",Data Scientist
Capgemini,3.8,"8,34,034",Data Scientist
Tiger Analytics,4.2,"15,12,500",Data Scientist
Microsoft,4.3,"19,44,192",Data Scientist
Google,4.4,"16,52,890",Data Scientist
Wipro,3.1,"8,17,757",Data Scientist
Jio,3.8,"15,00,000",Data Scientist
Anheuser-Busch InBev,3.8,"20,39,418",Data Scientist
Impact Analytics,4,"7,60,137",Data Scientist
Deloitte,4.1,"12,79,175",Data Scientist
First Student,3.9,"45,130",Data Scientist - Monthly
TuringMinds.Ai,2.6,"5,00,000",Data Scientist
ZS Associates,3.8,"15,00,000",Data Scientist
LTI,3.8,"8,43,201",Data Scientist
Ericsson-Worldwide,3.9,"10,65,980",Data Scientist
Optum,3.6,"15,98,530",Data Scientist
Genpact,3.9,"10,00,100",Data Scientist
Tech Mahindra,3.6,"8,09,761",Data Scientist
Fresher,4.1,"5,00,000",Data Scientist
HCLTech,3.7,"8,87,579",Data Scientist
ABC,3.9,"7,34,483",Data Scientist
EXL Service,3.8,"12,00,000",Data Scientist
UnitedHealth Group,3.7,"14,44,094",Data Scientist
Shell,4.1,"19,25,000",Data Scientist
Flipkart,4,"32,00,000",Data Scientist
Embibe,4.3,"14,19,536",Data Scientist
Oracle,3.9,"15,31,212",Data Scientist
EY,3.9,"10,00,000",Data Scientist
Reliance Industries,3.9,"9,85,625",Data Scientist
Great Learning,4,"8,71,261",Data Scientist
Cyient,3.6,"8,58,851",Data Scientist
HP Inc.,4.2,"16,86,280",Data Scientist
Optum Global Solutions,4,"15,98,969",Data Scientist
DXC Technology,3.6,"8,17,720",Data Scientist
MiQ,3.9,"17,21,496",Data Scientist
Ola,3,"21,00,000",Data Scientist
Ford Motor Company,4.1,"13,51,366",Data Scientist
INSOFE,3.9,"7,45,544",Data Scientist
Nielsen,3.7,"7,42,717",Data Scientist
PwC,3.9,"11,71,543",Data Scientist
Société Générale,3.5,"19,62,623",Data Scientist
Ganit,4,"13,32,771",Data Scientist
PayPal,4,"26,99,618",Data Scientist
DataScientest,4.6,"51,251",Data Scientist - Monthly
Verizon,3.9,"12,92,244",Data Scientist
TCS,3.9,"7,62,500",Data Scientist
